Job Class,Percentage,Link
Management,6.1,X
Business and Financial operations,5,X
Computer and Mathematical,2.7,X
Architecture and Engineering,1.7,X
"Life, Physical and Social Science",0.9,X
Community and Social Service,1.6,X
Legal,0.8,X
"Education, training and library",6.1,X
"Arts, design, entertainment, sports and media",1.7,X
Healthcare practioners and technical,5.5,X
Healthcare support,2.8,X
Protective service,2.3,X
Food preparation and serving,8.3,X
Building and grounds cleaning and maintenance,3.7,X
Personal care and service,4,X
Sales,10.2,X
Office and administrative support,15.1,X
"Farming, fishing and forestry",0.6,X
Construction and extraction,4.3,X
"Installation, maintenance and repair",3.8,X
Production,6.1,X
Transportation and material moving,6.5,X
Total,99.8,X
